id|shop_id|terminal_id|closed_at|opened_at|loyalty_id|staff_id|is_regular|is_refund|is_bulk
021ca4ae-4642-411b-91f2-5bd6db88983e|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 16:13:36|2025-06-02 16:13:36|11611_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
63f49040-9e20-44d1-91f4-a9e0a23e4236|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 17:36:37|2025-06-02 17:36:37|6475_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
f2388786-5dd8-4cd0-91f9-898a661a0b04|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 14:32:35|2025-06-02 14:32:35|11545_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
3e311c65-736e-4799-920f-49398d54fd13|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 11:39:42|2025-06-02 11:39:42|11417_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
276ead7c-cbd4-4df0-9212-4d36934a2169|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 16:05:23|2025-06-02 16:05:23|11603_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
b7806c3f-631f-47d4-9214-9c31ee05a112|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 12:27:09|2025-06-02 12:27:09|11456_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
0e84e767-bf56-4999-9233-cae90f1b10fd|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 15:48:54|2025-06-02 15:48:54|11587_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
5d851339-159d-402e-923a-beeb69701616|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 20:05:20|2025-06-02 20:05:20|111332_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
2f267774-c7a4-4122-923b-d67647b64bb3|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 18:47:08|2025-06-02 18:47:08|11715_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
eb0e81aa-7d41-4cef-924b-c7a04ebbf40b|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 15:36:48|2025-06-02 15:36:48|6406_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
84c6c86c-7a60-46c8-926d-829f5d49a4ff|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 18:45:29|2025-06-02 18:45:29|11711_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
fe5d79ad-4b77-4aea-9274-e13e4fb794d0|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 21:09:06|2025-06-02 21:09:06|6627_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
b0e0eb5c-34f3-40ca-927f-b37add542025|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 19:30:19|2025-06-02 19:30:19|11753_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
8218aa62-0f2f-4f35-9288-4786250e0459|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 16:04:52|2025-06-02 16:04:52|11602_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
fb6ff234-8400-4f41-9292-d93dc6901a42|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 08:42:57|2025-06-02 08:42:57|11271_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
bbe20859-9e4d-4334-9294-bcb9e8eb5050|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 20:06:24|2025-06-02 20:06:24|111333_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
f1d03493-ee6f-4adc-929d-3d69d3f247f4|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 20:01:44|2025-06-02 20:01:44|6576_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
6939500d-de76-4fee-92a4-3b0abfa78c15|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 16:58:44|2025-06-02 16:58:44|11638_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
c697a778-1db8-4485-92bc-e86a3620e0ab|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 19:13:46|2025-06-02 19:13:46|6542_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
edf5b49b-0952-4df0-92be-01f0d225077b|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 09:35:28|2025-06-02 09:35:28|11316_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
4d52aa04-2225-44ed-92c4-29b5c081223e|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 09:44:59|2025-06-02 09:44:59|11330_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
37383d79-09ae-43de-92d0-0e58f5d80a5f|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 08:56:26|2025-06-02 08:56:26|11286_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
e4557c6f-070e-45f1-92d0-edc66af33931|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 13:25:59|2025-06-02 13:25:59|111092_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
dd82512f-e292-4049-92dc-b76f3f7bd60c|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 16:39:51|2025-06-02 16:39:51|6441_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
28911f60-5ed5-4c49-92e2-fcacb9f7b46b|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 18:05:57|2025-06-02 18:05:57|6498_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
ea592841-ed23-4ac2-92e6-cbb526ec86ca|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 17:45:51|2025-06-02 17:45:51|11674_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
a630459c-7b83-40e4-9304-fa8c4ffc29d0|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 13:30:33|2025-06-02 13:30:33|11504_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
23504dc4-7456-439e-9313-fbdbe57eb533|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 16:42:16|2025-06-02 16:42:16|111211_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
d1f91d76-788e-47a9-932c-97527a3334a9|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 19:21:00|2025-06-02 19:21:00|111306_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
e43cc5fd-5870-4c44-8003-fd78a82c660d|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 12:29:02|2025-06-02 12:29:02|11459_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
3fd19f30-5e28-4b77-800b-6d4c13666289|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 18:22:58|2025-06-02 18:22:58|111254_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
4c78fc4d-3873-4a59-8039-d2880c2a5900|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 15:48:53|2025-06-02 15:48:53|6411_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
ab71b992-0b30-444d-8043-0cb26cb77fcb|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 15:35:50|2025-06-02 15:35:50|11575_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
24893de4-d3b9-4b81-8044-054d23b846f3|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 21:42:25|2025-06-02 21:42:25|111458_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
047a34d7-dbb9-405d-804f-a55ba6ee9bf5|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 16:56:26|2025-06-02 16:56:26|11636_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
4a65d440-7194-4328-8055-1c098eef770b|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька1|2025-06-02 19:44:36|2025-06-02 19:44:36|6560_001-1 Днепр (РУЛЬКА)_02.06.2025|8f5c9cb4-7d86-409c-ac60-747042bb0e99dnepr|true|false|false
9e9590cb-da78-4387-8069-0e8575341108|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 09:47:59|2025-06-02 09:47:59|11333_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
d56575f8-d42b-4977-8091-c7f0f555dc89|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 08:28:55|2025-06-02 08:28:55|11256_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
612c09cc-6304-4c32-8095-430200848f8d|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька3|2025-06-02 21:03:30|2025-06-02 21:03:30|111408_001-3 Днепр (РУЛЬКА)_02.06.2025|57b6c99e-f11e-48dd-81aa-18a2708e0055dnepr|true|false|false
075631a7-4360-41d3-8095-9c002c0aad04|c7bd926d-3458-4ff1-8ddf-e96faed23f53|ДнепрРулька2|2025-06-02 17:20:51|2025-06-02 17:20:51|11656_001-2 Днепр (РУЛЬКА)_02.06.2025|5732b67e-f8dd-11ee-9d53-000c29bb747fdnepr|true|false|false
