id|receipt_id|product_id|scanned_at|receipt_closed_at|supplier_id|price|qty|total_price|original_price|margin_price_total|discount|total_vat|total_excise
7|883a6623-74c7-4737-8a8d-a96ddb6bcd29|000053247|2025-06-04 16:59:29|2025-06-04 16:59:29|b7881bad-305c-470f-9b85-e866113c1a3a|410|0,192|78,72|199,49056604|40,41781132|||
4|29efd6d7-2f82-4cd1-abb4-fe8e06a64016|000009136|2025-06-04 13:49:09|2025-06-04 13:49:09|3c961c69-69bf-11ea-8d99-000c2950e53b|209,9|0,616|129,30|185|15,34|0,00||
2|b4144029-2d95-4186-9320-ed94c7f54c66|000055013|2025-06-04 14:12:20|2025-06-04 14:12:20|0cf8c69a-34ab-11f0-9320-000c29f6a6d8|16,5|2|33,00|10,8|11,4|||
1|af083f23-68a3-49f0-8f18-8f30519bb717|000043571|2025-06-04 11:44:43|2025-06-04 11:44:43|32206e30-8020-4374-a7b0-22798cf9175d|54,8|1|54,80|42,13|12,67|||
2|46803365-ffec-43ab-8254-26ae1d9fa41a|000048944|2025-06-04 17:12:55|2025-06-04 17:12:55|3c961c69-69bf-11ea-8d99-000c2950e53b|165,5|0,45|74,48|127,5|17,105|-0,01||
11|4efae772-d173-4f57-a6d5-8b422bbadd11|000025188|2025-06-04 17:59:52|2025-06-04 17:59:52|8f4e78f0-9d58-48dc-ab56-c9a0f0a4b2f5|47,9|0,488|23,38|47,88|0,01456|0,00||
25|716e9817-22a0-462c-a0f7-ca429a6545be|000028869|2025-06-04 16:33:46|2025-06-04 16:33:46|2b73e664-e45a-4731-94f5-6b2b16ec83aa|4,29|10|42,90|3,9|3,9|||
8|0f9c9f8f-2a2f-4e12-a042-9948d54336bf|000052262|2025-06-04 18:41:26|2025-06-04 18:41:26|3afa91e1-9525-11ef-9311-000c29f6a6d8|30,9|1|29,45|21,6|7,85|1,45||
1|cd81da7e-974a-4a97-8046-75311534bf95|000042368|2025-06-04 17:57:07|2025-06-04 17:57:07|3c961c69-69bf-11ea-8d99-000c2950e53b|229,5|0,975|223,76|203,04109589|25,79493151|0,00||
3|6bd90705-dac4-4751-9688-8e00e4be5c5f|000044056|2025-06-04 17:11:41|2025-06-04 17:11:41|94f8b847-c1a0-4e58-9009-7531c471d180|2,2|1|2,17|1,25|0,92|0,03||
14|4cd43ba5-b40e-4484-bd61-99389796d2e8|000028025|2025-06-04 17:37:59|2025-06-04 17:37:59|3c961c69-69bf-11ea-8d99-000c2950e53b|329,9|0,323|106,56|258|23,226|0,00||
