id|receipt_id|product_id|scanned_at|receipt_closed_at|supplier_id|price|qty|total_price|original_price|margin_price_total|discount|total_vat|total_excise
2|5c0f3f0f-85c9-45e8-9b06-c29fbad097a3|000015169|2025-06-02 19:42:06|2025-06-02 19:42:06|e31362d8-686d-4dc1-b66b-379ca56b8283|38,6|2|77,20|27,69|21,82|||
7|3732a0d2-0b91-4f08-8744-10c4acf013c9|000048363|2025-06-02 12:17:37|2025-06-02 12:17:37|null|0,4|1|0,40|0,24|0,16|||
2|083f5331-39e8-42d6-8324-162762db6ac5|000028869|2025-06-02 19:00:24|2025-06-02 19:00:24|2b73e664-e45a-4731-94f5-6b2b16ec83aa|4,49|10|44,90|3,4|10,9|||
6|e0ecacbd-f9d5-46c3-8b33-501c3f0c1e03|000025119|2025-06-02 13:46:49|2025-06-02 13:46:49|8f4e78f0-9d58-48dc-ab56-c9a0f0a4b2f5|69,9|0,678|47,39|65,91991342|2,6962987|0,00||
7|b5d0572f-692f-49ca-8595-7baec705d298|000010714|2025-06-02 19:10:31|2025-06-02 19:10:31|null|29,9|0,95|28,41|23,33002387|6,24647732|-0,01||
1|8e571b7a-5cb5-4ccd-ab20-9491bba6135e|000046290|2025-06-02 21:20:07|2025-06-02 21:20:07|4693e4ae-e253-41cd-8736-e99ac7c93769|129,8|1|129,80|124,43|5,37|||
1|4f922a34-a95d-431e-9af7-823befc9a4f1|000039964|2025-06-02 11:39:06|2025-06-02 11:39:06|null|480|0,264|126,72|279,27657143|52,99098514|||
2|82aceda7-7999-43c0-9431-6dd3015b1f17|000010691|2025-06-02 20:02:54|2025-06-02 20:02:54|8f4e78f0-9d58-48dc-ab56-c9a0f0a4b2f5|99,9|0,432|21,58|90|-17,3|21,58||
1|4f2ff7dd-16ba-4399-8142-9fa56b1101cc|000033875|2025-06-02 20:21:12|2025-06-02 20:21:12|94f8b847-c1a0-4e58-9009-7531c471d180|3,5|1|3,48|1,419996|2,060004|0,02||
4|0296529c-44cf-4d74-903c-b9af81b8e319|000052684|2025-06-02 12:54:19|2025-06-02 12:54:19|3c961c69-69bf-11ea-8d99-000c2950e53b|99,9|0,854|85,31|70,02|25,51292|0,00||
1|d42909da-06e5-462f-b2f7-518f6706a1b8|000049540|2025-06-02 15:35:47|2025-06-02 15:35:47|e1f002df-3fca-4782-9b69-c8885e119d7e|22,9|1|22,90|16,98|5,92|||
7|8884da40-9bac-4d04-9769-646ec1f55176|000007655|2025-06-02 19:34:58|2025-06-02 19:34:58|08d38c0b-35ea-42b0-8139-d7c753e8a4d7|179,5|0,915|164,24|113,7|60,2045|0,00||
1|6d9b0dd0-5018-49b8-a6b8-22be6a99897f|000042774|2025-06-02 10:45:53|2025-06-02 10:45:53|da2ff104-7c10-4172-ab4b-97a93d1eb897|16,7|1|16,70|12,42|4,28|||
2|253e99ec-69f8-4d2c-b189-bee3a701daf2|000027614|2025-06-02 20:56:13|2025-06-02 20:56:13|e13ce6ee-57ab-4b61-9ddd-92a1cdfd45d2|19,5|2|39,00|15,79|7,42|||
8|12a8a2f5-de72-4567-a2e0-19ad64065669|000012398|2025-06-02 17:47:27|2025-06-02 17:47:27|3c961c69-69bf-11ea-8d99-000c2950e53b|219,9|1,438|316,22|219,90021413|0,00349208|0,00||
1|96421ddf-b96e-4578-9211-c9f119fec7f2|000008115|2025-06-02 14:11:01|2025-06-02 14:11:01|null|219,9|1,01|222,10|219,9|0,001|0,00||
2|6f9983e6-01b5-45e9-8a82-16d69e9d6d83|000053010|2025-06-02 12:46:30|2025-06-02 12:46:30|eadc3edd-7296-11ea-8d99-000c2950e53b|54,5|1|54,50|40,44|14,06|||
8|1dad176e-11f3-498b-b6cb-141ed8170028|000032051|2025-06-02 19:54:12|2025-06-02 19:54:12|f2d9e181-f873-46fc-b5a3-ded9ebdb1e03|28,4|1|28,40|13,62|14,78|||
1|c7f60a11-a801-4f1b-a870-ced513f9d2f6|000010145|2025-06-02 15:16:40|2025-06-02 15:16:40|0f6f4a70-69ba-11ef-930e-000c29f6a6d8|289,5|0,238|68,90|212,03974359|18,43454103|0,00||
1|860f93bc-c916-4028-867b-24b8f2bc9468|000048870|2025-06-02 17:14:58|2025-06-02 17:14:58|d4f9155d-409e-454a-982c-75355f5de1a9|29,3|2|58,60|21,36041667|15,87916666||9,77|
1|1087469a-2dfc-4b3d-acc6-1b56ce485202|000054471|2025-06-02 10:27:00|2025-06-02 10:27:00|e1f002df-3fca-4782-9b69-c8885e119d7e|26,9|2|53,80|18|17,8|||
11|af3bbff9-912e-4dc1-b0c0-2d60b6350a9e|000006023|2025-06-02 10:51:17|2025-06-02 10:51:17|94f8b847-c1a0-4e58-9009-7531c471d180|34,5|1|34,50|22,44|12,06|||
15|1c67d28b-ca35-486f-998a-85179325b877|000055010|2025-06-02 17:05:27|2025-06-02 17:05:27|0cf8c69a-34ab-11f0-9320-000c29f6a6d8|14,9|1|14,90|9,9|5|||
1|42191974-3171-42ef-8c97-37563dd22f7d|000039424|2025-06-02 17:33:48|2025-06-02 17:33:48|8a129208-17a3-4f2c-aee1-aa70cfe3ea41|52,9|1|52,90|43,35|9,55||8,40|2,52
3|a0b3583a-5e7a-48b3-ad5b-ba4a6814f59a|000052259|2025-06-02 18:00:37|2025-06-02 18:00:37|846af46a-8af9-11ef-9311-000c29f6a6d8|37,4|1|37,40|25,92|11,48|||
1|9b533c16-7358-4fe7-915f-e8b0909eb2fb|000011602|2025-06-02 17:43:59|2025-06-02 17:43:59|4693e4ae-e253-41cd-8736-e99ac7c93769|129,7|1|129,70|123,8|5,9|||
1|8dc4e199-0e99-4bfe-8e7e-c7ce512838c1|000036074|2025-06-02 16:05:27|2025-06-02 16:05:27|307fd845-acb7-11ef-9313-000c29f6a6d8|49,9|1|49,90|42,65|7,25|||
2|6c3c6d35-650a-4dfc-ac3d-0aff0decc4f6|000031370|2025-06-02 19:29:38|2025-06-02 19:29:38|89a96d92-e524-4cc1-9da4-96230543fb62|34,5|1|34,48|26,1|8,38|0,02||
1|1351f7fd-eadd-4ed6-ad1b-e7515170f2d5|000054013|2025-06-02 11:04:51|2025-06-02 11:04:51|e5d5a8b0-743f-4c1d-9591-236e6e295158|137,9|0,589|81,22|107,00400625|18,19464032|0,00||
3|fc2c3d70-794f-40db-be11-0aebe16bf5bb|000010689|2025-06-02 09:45:08|2025-06-02 09:45:08|null|889,9|0,336|299,01|550|114,21|0,00||
21|44bb87e3-26bb-49af-97c3-3ae56c9ddeb0|000028869|2025-06-02 12:37:23|2025-06-02 12:37:23|2b73e664-e45a-4731-94f5-6b2b16ec83aa|4,49|15|67,35|3,4|16,35|||
3|a22c88ab-d8c7-498d-974a-c0f51e901dd7|000043195|2025-06-02 19:32:17|2025-06-02 19:32:17|4d2c724c-09d6-4462-9746-d2b890705b89|229,9|0,406|93,34|190|16,2|0,00||
4|89f0022d-d04e-4d94-a936-99803ffa50bb|000053253|2025-06-02 20:49:26|2025-06-02 20:49:26|741931fd-9ed7-4c8b-84a4-7f4d82e8fcbf|32,9|1|32,90|29,49|3,41|||
1|43030f11-2cf4-4fd0-800c-6ed7f5ad2eb1|000048502|2025-06-02 19:05:18|2025-06-02 19:05:18|2cb5aaab-a816-11ef-9313-000c29f6a6d8|79,5|1|56,29|50,28|6,01|23,21||
9|5141b83c-24bd-4c9f-a6fb-bbbe36e777d4|000043169|2025-06-02 15:12:23|2025-06-02 15:12:23|2206d7f0-7187-41be-9464-9714ad228c10|32,5|1|32,50|27,24|5,26|||
3|a8221fc1-b930-4dc4-9abc-59e018a3a63b|000021857|2025-06-02 10:42:50|2025-06-02 10:42:50|846af46a-8af9-11ef-9311-000c29f6a6d8|35,5|1|35,50|30,3|5,2|||
2|4a5469f0-ff27-48f7-b856-2b811f5b16e4|000010751|2025-06-02 11:34:24|2025-06-02 11:34:24|8f4e78f0-9d58-48dc-ab56-c9a0f0a4b2f5|69,9|0,25|17,48|45,92998976|5,99750256|-0,01||
1|39511503-38c6-4c03-9e61-79595557db04|000004728|2025-06-02 12:32:19|2025-06-02 12:32:19|4693e4ae-e253-41cd-8736-e99ac7c93769|124,8|1|124,80|119,05|5,75|||
3|246982ba-4958-48b9-8a97-74cb264ad2a5|000051341|2025-06-02 11:26:02|2025-06-02 11:26:02|e13ce6ee-57ab-4b61-9ddd-92a1cdfd45d2|30,9|1|30,90|27|3,9|||
3|57bdfa16-456f-4fe0-9a24-9a7339873105|000033875|2025-06-02 20:54:44|2025-06-02 20:54:44|94f8b847-c1a0-4e58-9009-7531c471d180|3,5|1|3,50|1,419996|2,080004|||
2|07df21d6-091c-4449-a470-6cc4805c66b5|000024310|2025-06-02 16:49:40|2025-06-02 16:49:40|ebbb3993-8dac-4d40-aa44-512bc8056753|28,9|2|57,80|20,976|15,848|||
1|9011a6e8-468f-43ab-ac50-034fdbd42b81|000048766|2025-06-02 13:36:38|2025-06-02 13:36:38|741931fd-9ed7-4c8b-84a4-7f4d82e8fcbf|14,2|1|14,20|11,84|2,36|||
3|122da42f-b1df-47ad-a03a-b6af4d84a85b|000046052|2025-06-02 19:55:55|2025-06-02 19:55:55|e1f002df-3fca-4782-9b69-c8885e119d7e|27,9|1|27,90|18,96|8,94|||
1|27054dba-c47d-4a07-8ae7-05849709de92|000005268|2025-06-02 10:19:00|2025-06-02 10:19:00|9811a753-642c-4294-bf00-9a2f4472573b|178,9|1|178,90|111,72|67,18||28,40|8,52
11|b75d5a14-47f8-4986-839f-929e3dc86664|000023724|2025-06-02 13:59:11|2025-06-02 13:59:11|71f06f1d-1b4f-4b0a-8e9e-13b411be9984|45,3|1|45,30|34,76|10,54|||
5|a69f85ef-c0e3-494b-9984-25e7de1c2df8|000043361|2025-06-02 13:53:51|2025-06-02 13:53:51|5cd4ef19-e5fa-44c1-a317-cc689cce4ff7|11,5|1|11,50|9,024|2,476|||
